Timestamp (yyyyMMdd_HHmmss.ffff),Object,Joint,PositionX,PositionY,PositionZ,RotationX,RotationY,RotationZ,RotationW
20240901_181014.9397,Cube,Cube (6),-0.485,0.8606897,-0.779,-1.872091E-08,-1.002302E-07,1.934925E-07,1
20240901_181014.9559,Cube,Cube (6),-0.485,0.8606897,-0.779,3.462937E-10,-1.067922E-07,1.665371E-07,1
20240901_181014.9699,Cube,Cube (6),-0.485,0.8606897,-0.779,3.462937E-10,-1.067922E-07,1.665371E-07,1
20240901_181014.9835,Cube,Cube (6),-0.485,0.8606897,-0.779,3.462937E-10,-1.067922E-07,1.665371E-07,1
20240901_181014.9974,Cube,Cube (6),-0.485,0.8606897,-0.779,3.462937E-10,-1.067922E-07,1.665371E-07,1
20240901_181015.0119,Cube,Cube (6),-0.485,0.8606897,-0.779,3.462937E-10,-1.067922E-07,1.665371E-07,1
20240901_181015.0264,Cube,Cube (6),-0.485,0.8606897,-0.779,3.462937E-10,-1.067922E-07,1.665371E-07,1
20240901_181015.0400,Cube,Cube (6),-0.485,0.8606897,-0.779,3.462937E-10,-1.067922E-07,1.665371E-07,1
20240901_181015.0543,Cube,Cube (6),-0.485,0.8606897,-0.779,3.462937E-10,-1.067922E-07,1.665371E-07,1
20240901_181015.0683,Cube,Cube (6),-0.485,0.8606897,-0.779,3.462937E-10,-1.067922E-07,1.665371E-07,1
20240901_181015.0820,Cube,Cube (6),-0.485,0.8606897,-0.779,3.462937E-10,-1.067922E-07,1.665371E-07,1
20240901_181015.0963,Cube,Cube (6),-0.485,0.8606897,-0.779,3.462937E-10,-1.067922E-07,1.665371E-07,1
20240901_181015.1104,Cube,Cube (6),-0.485,0.8606897,-0.779,3.462937E-10,-1.067922E-07,1.665371E-07,1
20240901_181015.1243,Cube,Cube (6),-0.485,0.8606897,-0.779,3.462937E-10,-1.067922E-07,1.665371E-07,1
20240901_181015.1377,Cube,Cube (6),-0.485,0.8606897,-0.779,3.462937E-10,-1.067922E-07,1.665371E-07,1
20240901_181015.1519,Cube,Cube (6),-0.485,0.8606897,-0.779,3.462937E-10,-1.067922E-07,1.665371E-07,1
20240901_181015.1659,Cube,Cube (6),-0.485,0.8606897,-0.779,3.462937E-10,-1.067922E-07,1.665371E-07,1
20240901_181015.1794,Cube,Cube (6),-0.485,0.8606897,-0.779,3.462937E-10,-1.067922E-07,1.665371E-07,1
20240901_181015.1937,Cube,Cube (6),-0.485,0.8606897,-0.779,3.462937E-10,-1.067922E-07,1.665371E-07,1
20240901_181015.2075,Cube,Cube (6),-0.485,0.8606897,-0.779,3.462937E-10,-1.067922E-07,1.665371E-07,1
20240901_181015.2212,Cube,Cube (6),-0.485,0.8606897,-0.779,3.462937E-10,-1.067922E-07,1.665371E-07,1
20240901_181015.2355,Cube,Cube (6),-0.485,0.8606897,-0.779,3.462937E-10,-1.067922E-07,1.665371E-07,1
20240901_181015.2495,Cube,Cube (6),-0.485,0.8606897,-0.779,3.462937E-10,-1.067922E-07,1.665371E-07,1
20240901_181015.2631,Cube,Cube (6),-0.485,0.8606897,-0.779,3.462937E-10,-1.067922E-07,1.665371E-07,1
20240901_181015.2777,Cube,Cube (6),-0.485,0.8606897,-0.779,3.462937E-10,-1.067922E-07,1.665371E-07,1
20240901_181015.2915,Cube,Cube (6),-0.485,0.8606897,-0.779,3.462937E-10,-1.067922E-07,1.665371E-07,1
20240901_181015.3048,Cube,Cube (6),-0.485,0.8606897,-0.779,3.462937E-10,-1.067922E-07,1.665371E-07,1
